"run","trend_true","trend_est_q025","trend_est_q500","trend_est_q975","cov","max_Rhat","n_counts","n_counts_w_SE"
20,0.877461410045677,0.0110564803369484,0.822165679148823,1.61082243901165,TRUE,1.1136857882142,69,45
21,0.25540781679485,-0.658240585073906,0.0870554182038075,0.878274204610405,TRUE,1.04016957474281,60,39
22,-0.0155864583131327,-1.58007216688148,-0.407470128908066,0.687337048791389,TRUE,1.02658846444269,61,40
23,2.07308936703525,0.555475952702882,2.1241309342553,3.64968944874323,TRUE,1.02109003007595,57,38
24,-0.302603145510616,-1.4459468911502,-0.694818404163372,-0.0113733198940195,TRUE,1.0315992741269,67,44
25,-1.09368073690617,-1.81060986050458,-1.09133286717717,-0.372141508828226,TRUE,1.09985276886748,57,38
26,1.6205779372902,0.108272081967526,1.40027447590535,2.48282262013563,TRUE,1.02565274314717,62,41
27,1.77087548435706,0.509625918817013,1.32967690627881,2.28507551019284,TRUE,1.12527919937509,55,36
28,-0.773031774780886,-1.98129570432045,-1.22566519105833,-0.312587789988906,TRUE,1.03037875195237,64,42
29,-0.0938868978733298,-2.61540894237542,-1.11421037873295,-0.0710515850327297,TRUE,1.03411341087702,53,35
30,0.6684901786572,-0.995026697371863,0.292552463157914,1.31865289794653,TRUE,1.20727501897345,63,41
31,1.14515945777307,-0.0143923202555562,0.824488247462718,1.72072749734389,TRUE,1.07263302983252,56,37
32,1.26962653755467,-0.0608414477160886,1.05011144818083,2.16090937709568,TRUE,1.04464204130996,66,43
33,-0.403929559381133,-1.79005426483552,-0.834837211059608,0.134840878396369,TRUE,1.03081321706907,53,35
34,2.56048927159596,1.57926113658171,2.40666451517043,3.25432635548514,TRUE,1.06306943679201,66,43
35,5.03312879560478,1.23377070776455,2.53976111258168,4.73727267697031,FALSE,1.19541789076969,57,38
36,3.38656774498112,0.477220083161176,1.78337774121671,3.34085880916765,FALSE,1.0789906361773,63,41
37,-0.663607014694834,-2.75652802366144,-1.23424508828583,0.101628062224917,TRUE,1.57753904830245,49,32
38,2.48726832477306,-1.77204628058974,0.820290574697846,2.38924895754026,FALSE,1.27455241268372,58,38
39,3.31607890931089,-0.105716733772008,1.38982400103029,2.63703034577873,FALSE,1.31622833856728,52,34
40,0.51749393210343,-0.587465031732852,0.4757001023727,1.51989561412653,TRUE,1.04198943333798,60,39
41,3.44732536886658,-1.22886625115727,-0.245713701855915,2.26063022305068,FALSE,1.04377025061697,52,34
42,-0.248471564869834,-2.94011261541703,-1.59012483281269,0.169491158275046,TRUE,2.51552029426132,60,39
43,1.97702866072316,0.892569837469919,1.80523062753938,2.67001483681371,TRUE,1.07401477355437,68,45
44,1.35403148993558,0.63900125942757,1.50162183706579,2.29108950023558,TRUE,1.03110645842411,64,42
45,-0.674844743371206,-0.75412039962923,0.177700258177382,0.876884936298274,TRUE,1.296910631938,62,41
46,-0.504122463542833,-2.94033178761724,-1.62150133095255,-0.791403472230473,FALSE,1.06511477070327,61,40
47,0.522202032828556,0.396633284668225,0.986957534419763,1.61336868046869,TRUE,1.03161251814106,65,43
48,-0.681968224004403,-2.73994213221145,-1.5358176050692,0.00345629367650908,TRUE,1.04188653412844,55,36
49,-1.38666016007293,-2.40731733321106,-1.49811711970556,-0.522608893005454,TRUE,1.05658003594058,61,40
50,-0.406597663464014,-1.42226081918045,-0.695162763281121,0.0157529526798627,TRUE,1.02404041997639,58,38
51,0.63862395220271,-0.419257381044022,0.610553032093741,1.54182594314255,TRUE,1.06761400672519,60,39
52,2.35590281632461,0.76841176903356,1.96784941376114,3.30423909059822,TRUE,1.04819055356939,60,39
53,-1.19548938787177,-1.35809472201466,-0.485903130180215,0.251609579876297,TRUE,1.03896161071647,61,40
54,1.68252746722042,0.505201457058995,1.17443801781891,1.87967243891978,TRUE,1.05823588410983,54,36
55,0.871375939914332,-2.73019777819199,-1.39340711748545,0.28305368551391,FALSE,1.17831918122978,63,41
56,0.557678115751137,-0.786250721952828,0.444320796157416,1.33443815993071,TRUE,1.13111201449772,63,41
57,-0.0649605776397277,-1.52481639062259,-0.117500268474502,1.08448723676289,TRUE,1.08609496583949,53,35
58,2.49998849132855,1.07623965923871,2.37748043365584,3.63847744329584,TRUE,1.02882056489321,58,38
59,3.21433295226374,2.25220143109241,3.62110161913224,4.9214848024939,TRUE,1.05673725285816,52,34
60,2.02256922076713,1.00310275792722,2.12550821426062,3.52487313665945,TRUE,1.04680461309386,57,38
61,0.166440491219855,-1.69508375263751,-0.571578481552831,0.429230430988537,TRUE,1.12575690238731,56,37
62,5.63839485815594,0.328787182090279,2.50873027031108,4.40933258800139,FALSE,1.01742983303948,62,41
63,7.90144661912813,2.56176465469542,3.83957903472809,5.0504843643627,FALSE,1.06419838395808,61,40
64,2.81522219953272,2.03129802919667,2.91353243684207,3.87789356895574,TRUE,1.17206043016333,55,36
65,0.758956607148464,-1.34918410884527,0.522080975292349,2.02350276069258,TRUE,1.06900192807187,53,35
66,-0.478068999004699,-1.37112854186078,-0.122673901683035,0.822018190312414,TRUE,1.09075745242863,56,37
67,2.05520449770602,-1.57938562871478,-0.594165112480494,0.623657465658924,FALSE,1.04238081347966,66,43
68,-2.14144063329154,-3.28808253776689,-2.45076093815486,-1.66061605041109,TRUE,1.02157593901696,70,46
69,0.331661521099447,-1.18221515604162,0.276935536727663,1.33635509832693,TRUE,1.0556538717451,63,41
70,0.849989101577475,-1.74082183139098,-0.795568493021009,0.0171679618357562,FALSE,1.08128073170638,56,37
