"run","trend_true","trend_est_q025","trend_est_q500","trend_est_q975","cov","max_Rhat"
30,0.770655317670599,-0.194515926923799,0.867180881601259,1.98324531110802,TRUE,1.01249233002884
31,0.979711139611639,-1.28505505321989,-0.0474636069303813,1.1591256233951,TRUE,1.02014210589643
32,-0.848136726401083,-1.58233045119084,-0.502943624057473,0.557127097324905,TRUE,1.04755622905004
33,0.108994196872292,-0.999231017852996,-0.105702372700278,0.759329642626388,TRUE,1.02856795859356
34,-0.140301472733662,-1.49915223843262,-0.339984621308626,0.839545694427867,TRUE,1.02200883199855
35,2.04618138221646,-1.01384922148444,0.603374745230889,2.15095916931241,TRUE,1.02204244917124
36,-0.710444649558917,-1.6489327313813,-0.344800090128528,0.837487683848134,TRUE,1.0192418530994
37,-0.525971017569804,-0.635415915090833,0.314896181465596,1.27805697711394,TRUE,1.01480879836621
38,-0.445403176704962,-1.21394321706269,-0.0266748852982668,0.788014896620627,TRUE,1.0287274752961
39,3.59641637460104,-2.26806543901714,3.31110152266745,4.82083598886519,TRUE,1.09642182048952
40,2.32340532616082,0.191909464114138,2.90751808032896,4.92083034615389,TRUE,1.07548816510166
41,-0.424976655825049,-2.10847221275772,-0.481298507996702,0.967663835671915,TRUE,1.01713800335885
42,-0.645568519139561,-1.22116594685813,-0.263913793223591,0.749370611086274,TRUE,1.04204027798067
43,4.23030003158473,2.08954410999019,3.11838725181717,4.02827371841409,FALSE,1.04125990770522
44,-1.04183501660255,-3.60880732997221,-1.91073956180648,-0.314893538124262,TRUE,1.03508658456169
45,3.30890717367416,0.427706807846263,1.64920642843071,2.63885795159567,FALSE,1.02778507866223
46,-0.710917417141188,-1.9723811224039,-0.861980171781851,0.381107635232691,TRUE,1.01804869495203
47,2.62501683127048,-0.76387477707596,0.815580576546404,3.10148616447561,TRUE,1.01821871202435
48,-1.03908924495887,-2.54174553705959,-1.43283715619161,-0.481285187307535,TRUE,1.02408512115406
49,0.283672537943724,-1.74516214560432,-0.611967426078663,0.529082870735116,TRUE,1.0179311999845
50,-0.0931215122504603,-1.30805553740541,-0.268371493240477,0.928082060578454,TRUE,1.09194926306972
51,-0.235835846307986,-1.61023927563461,-0.505744239076067,0.426730305767263,TRUE,1.05386399190847
52,-0.563752427789099,-2.27381652832303,-1.30970647036611,-0.418395088241385,TRUE,1.02765066840551
53,0.916119968024409,-0.144897798912048,1.01029119330237,2.10753504463016,TRUE,1.03253735425325
54,-1.3133203339202,-3.10566258847003,-1.81866465822703,-0.354619945368407,TRUE,1.19805420313407
55,-1.18727720890699,-1.6182699495022,-0.683084672253031,0.263222602047604,TRUE,1.06369717724828
56,-0.132630869143402,-2.2143180883148,-0.906948077470721,0.634242329632737,TRUE,1.06566867930069
57,1.15528000800367,1.45421615696114,2.43519362902601,3.75177016573964,FALSE,1.02805722162507
58,0.707636085896901,-1.21268227367364,0.262521059581089,1.6518834975886,TRUE,1.02918584852562
59,1.96110455035006,0.775012623662793,2.27416224822757,3.52400139514357,TRUE,1.17886534806701
60,1.50727337557961,0.150322193949492,1.5380172051037,3.03875089791968,TRUE,1.07706077211133
61,-1.76946256854768,-2.87599679939632,-1.55708614662901,-0.534207372290217,TRUE,1.04847969040062
62,5.30986983524508,1.22195401891236,3.2661047201991,5.30947821912227,FALSE,1.13202568554733
63,-0.0101809676293141,-1.39000398489769,-0.681980340298038,0.102254529669865,TRUE,1.0460907757037
64,1.01059386741951,0.625019874877492,1.67709367519523,2.77869521656817,TRUE,1.02599293677798
65,-1.18160559557643,-0.959303581554016,0.127272439382131,1.20438576550381,FALSE,1.02114861224454
66,0.621998168288473,-0.770388759993294,0.00530364988218235,0.766780171831339,TRUE,1.02255642329715
67,-0.783639796542035,-2.40151880483105,-1.485338025774,-0.503573675554215,TRUE,1.031241446699
68,0.596481205205701,-0.956806184248959,-0.211607717541068,0.497686377766254,FALSE,1.02143529226087
69,0.834174073299176,-0.430586314212857,0.444814127537829,1.15922673652137,TRUE,1.01789856501022
70,-0.00906442450738787,-1.17339932328907,-0.257221652049677,0.635420101736373,TRUE,1.01906893657864
71,-0.0400136722481959,-1.24424034193596,-0.368572330393363,0.606895941622277,TRUE,1.08084416614307
72,-0.26820551104425,-1.66519961779549,-0.777277801882786,0.242590783189184,TRUE,1.01745803803807
73,0.906959032258148,-0.107036118334251,0.908873109183173,1.8731727434812,TRUE,1.01623450835109
74,-1.07856515919169,-2.13137478782227,-0.920983861522123,0.102093928745101,TRUE,1.02398217365069
75,0.903594115651263,-0.429050823586181,0.602739933095942,1.60274794369987,TRUE,1.02523605893503
76,-0.10599457950482,-2.1316538748353,-1.00747222428763,0.0449429911305959,TRUE,1.11975692256553
77,2.34893071924167,-0.520858582577431,0.59180486410102,2.00820588793802,FALSE,1.02779573566441
78,1.48017505016289,-0.226597107443842,1.24584661846127,2.60709134148384,TRUE,1.25665877484616
79,3.10255892630322,0.687831390952396,2.39588214269867,4.18114214019183,TRUE,1.08047797061368
80,-1.79352275676176,-2.79993945291058,-1.72961224562756,-0.778304644475689,TRUE,1.03053839548827
81,9.81385789041001,-1.85517125269725,0.905945125269125,11.6604071501528,TRUE,1.16615368768226
82,0.810940574363017,-0.783021080659067,-0.152907589429002,0.472522814309963,FALSE,1.02423772056433
83,1.90548760628899,-1.46604311452736,0.440736824107824,1.76690918774615,FALSE,1.07623346907406
84,-1.20658510896405,-1.56353697134754,-0.241198894408295,1.81566419480624,TRUE,1.02693249731912
85,0.891736230184725,-0.358178048725143,1.00494981170741,2.20363226879887,TRUE,1.01836072225814
86,-0.195603186607152,-0.98098650662411,-0.000349329550231037,0.88939557583555,TRUE,1.0291484556349
87,-0.563050340247728,-1.20573997157084,-0.489073949302321,0.218360882564806,TRUE,1.01398193980926
88,1.91140028173804,-0.0520179318642369,1.11496042354998,2.45132660623532,TRUE,1.07996445046065
89,-0.113834663883217,-0.865289786232792,0.109389933671744,1.18395928038513,TRUE,1.01594362476494
90,-1.08966430280147,-1.9321059530588,-0.883226788547142,0.153374206105974,TRUE,1.02454171179838
91,-0.94717621366387,-1.92156819630766,-1.04835319296783,0.0034157465599414,TRUE,1.03894950342831
92,0.33927119609356,-0.275591914496997,0.527952315822955,1.30281384710321,TRUE,1.02288562964607
93,0.61183638679172,-0.538380459663941,0.507763431846375,1.58857698082176,TRUE,1.03403551231169
94,0.22093466260229,-2.81994660269719,-0.146940376023402,2.17481293848844,TRUE,1.13171812288255
95,-0.566874407768436,-2.33609461587658,-0.785087263613166,0.667080543192191,TRUE,1.04852277025555
96,0.398487808620551,-0.718128856095399,0.160061014593427,1.0191408348757,TRUE,1.02419422913025
97,-0.782886825547435,-3.05170014248986,-2.02558192151658,-0.941047335833644,FALSE,1.05985149273354
98,2.20368413927421,-0.0715012224122274,1.58040815810024,3.51054053382494,TRUE,1.05189528889922
99,-0.589680626807754,-1.0881496831508,-0.304897297252676,0.548797464711578,TRUE,1.03190720584389
100,0.411456649742759,-0.718499126330551,0.33091033175926,1.29273312600251,TRUE,1.07510843657786
101,2.88461605037516,1.94831254657006,3.07904814775445,4.28087039273539,TRUE,1.04215156555301
102,2.49554873178772,1.08550353528805,2.05017568847362,3.23018207620475,TRUE,1.02125748334016
103,0.705545673025498,-0.793905321681438,0.257891885490336,1.33813753127998,TRUE,1.13273964363193
104,-1.06285664851018,-2.14985934420528,-0.637727629788926,1.03190244042834,TRUE,1.04126402610248
105,1.93054575008793,-1.67440273878486,-0.594522450277696,0.828385897219544,FALSE,1.01907971140905
106,1.58175690885141,-0.442890264164345,1.33784085254005,2.70878134821709,TRUE,1.10939744331483
107,-0.737449321113692,-2.83091576507653,-1.71385230517098,-0.402384147250374,TRUE,1.0427607469374
108,0.0260392446840507,-2.11214664932958,-0.806400523590634,0.682447522782847,TRUE,1.09928894493346
109,4.50275698689278,2.76398419203892,3.96445957644771,5.2407182054385,TRUE,1.04488123438322
110,-0.706851015660093,-1.71967883723786,-0.947056230880594,-0.138952491324151,TRUE,1.01453681203834
111,1.86624668229214,-1.42902036689676,-0.0733061086287456,1.19407156292617,FALSE,1.04824314539969
112,0.63036076595262,-0.280456920293609,0.746151885474355,2.21130910694954,TRUE,1.05325714119063
113,1.76594874864293,1.30884430977586,2.37529754713853,3.47874764307866,TRUE,1.03356492436915
114,0.072646797503384,-0.219710421674394,0.692597467134326,1.4398124463885,TRUE,1.01599575733442
115,-0.620985365449978,-0.893794276088929,-0.0241581728592788,1.16858823184047,TRUE,1.0672393135453
116,0.919142044952204,0.248963972077108,1.08010373005892,2.10300949794693,TRUE,1.05411230594913
117,1.88029970070991,0.249633909691642,1.24160616334911,2.22453160237361,TRUE,1.01893472464697
