"run","trend_true","trend_est_q025","trend_est_q500","trend_est_q975","cov","max_Rhat","n_counts","n_counts_w_SE"
137,2.423963400939,-0.253996024213591,1.280199218888,2.70798855235367,TRUE,1.01916714169132,38,25
138,3.36266416023761,0.668904725302904,2.52683801704069,4.78518695051817,TRUE,1.07774784830568,39,26
139,5.81898098794094,3.23830854057125,4.35357930699491,5.43803085069005,FALSE,1.04293363185681,31,21
140,0.528821820553893,-1.16577679928559,-0.0920752012445902,0.925883731961985,TRUE,1.04223097180171,36,24
141,0.326337502414042,-3.29087713414698,-1.90129414301405,-0.583583481065433,FALSE,1.04297128356793,41,27
142,2.33190339496765,0.11203230502196,2.82426313053363,4.84636136932978,TRUE,1.13645521138191,34,23
143,1.61899033539938,0.665474831762275,2.22754424538825,4.15542865844729,TRUE,1.04979292942377,38,25
144,-1.96633191955028,-2.52403810995343,-1.69482263583671,-0.82343378368976,TRUE,1.01783570950159,35,23
145,4.96046465012778,2.59705264586527,3.94296493435828,5.24969649361569,TRUE,1.18827810737711,40,26
146,0.0678371690008062,-1.63803311455045,-0.545414867759991,0.359924697322014,TRUE,1.08815993510254,43,28
147,0.945624367804587,-0.0545202404558126,1.08796876410046,2.03440988851858,TRUE,1.10585285582844,36,24
148,5.51364821542335,4.17248441928494,5.20730781572152,6.26213046487049,TRUE,1.03459726127268,36,24
149,-0.327097666499498,-2.22980016153951,-0.972258411408833,0.560998359983882,TRUE,1.09824537616322,35,23
150,-2.31896229315347,-2.85811324212668,-1.94867009916961,-1.0021873650313,TRUE,1.03850241685439,33,22
151,1.05147768854699,0.314679454324613,1.10177848121377,1.81020248535706,TRUE,1.09637750835465,35,23
152,2.74644153507817,0.581794520958852,1.70779246940779,2.84530072677148,TRUE,1.06787937038045,29,19
153,-2.7432657512021,-2.95061293906831,-1.91350540436139,-0.758671125555549,TRUE,1.02207729606224,42,28
154,5.29435461904182,1.91578148824749,3.13937760253628,4.28592876262216,FALSE,1.03131326835536,34,23
155,0.431415648350009,-0.621588034761253,0.124596478849437,0.993903246240328,TRUE,1.03343929759049,32,21
156,-0.251856096931224,-2.17651828031984,-0.878923555427985,0.361490255964018,TRUE,1.06077953592186,30,20
157,6.16009681172169,0.595302175326739,2.77490049617051,4.69117264022202,FALSE,1.0978165879862,36,24
158,-0.0182664832933721,-2.26818457237896,-0.932149019364248,0.391169653031288,TRUE,1.03809591034941,36,24
159,-0.967687239492621,-2.52200044941995,-1.3319929746395,-0.438567800538347,TRUE,1.03301586285701,34,23
160,3.9460707162045,4.25405336371829,5.68832028405062,7.20345050650057,FALSE,1.07698768608772,36,24
161,0.566786092815774,-1.08697095776283,0.514926825333917,1.61541281745323,TRUE,1.04417050177873,40,26
162,-1.76319294758411,-2.66838009216338,-1.60894302373748,-0.540028596736584,TRUE,1.01448834077506,36,24
163,0.207372043262799,-1.6124317734576,-0.275648898852465,0.883390788054784,TRUE,1.06664248958908,34,23
164,0.352464635128347,0.294880234646401,1.36052979164416,2.48432738285072,TRUE,1.14594323372273,35,23
165,-1.12955130667622,-2.07254588892261,-0.995099355434426,0.0665425284556318,TRUE,1.01643849364598,43,28
166,1.38192776647192,0.142104182328021,1.46151250608861,2.87518463319269,TRUE,1.08641299957734,30,20
167,2.22777604346882,0.064193097810173,0.975200951194788,1.99714968878677,FALSE,1.02316284483735,25,17
168,-0.235475051056533,-1.50644836271578,-0.42877490227643,0.520614881513903,TRUE,1.01925601479914,31,21
169,-1.15262158813449,-1.95150524231556,-0.782191250127195,0.59863089502127,TRUE,1.01806842186227,35,23
170,-0.550551374403818,-1.72579991483619,-0.357489129056476,0.86657027415041,TRUE,1.49763290564784,28,19
171,-0.584553662270293,-1.81242120479538,-0.645078305216257,0.33890475690351,TRUE,1.01761561657843,35,23
172,-1.02218008811867,-2.63262245621179,-1.71361454000041,-0.86215488754172,TRUE,1.03988697382699,36,24
173,0.962267517645654,-0.742625850348945,0.186948462200331,1.12164044940367,TRUE,1.05270099861262,29,19
174,1.50796773285438,-0.61269157451385,1.38650627218869,3.41977605754657,TRUE,1.27307430478802,32,21
175,2.48510770079566,1.14298644407902,2.58277331505462,4.08321912562358,TRUE,1.2017133109765,41,27
176,1.5417248182569,0.809617284039776,1.73255450910222,2.69697933077518,TRUE,1.06664210993922,32,21
177,3.05403152710804,-0.42239999752421,0.932939202831584,2.52580318466554,FALSE,1.11612052992367,38,25
178,0.916898653258102,-1.33342768432849,-0.34354026085624,0.823242165968371,FALSE,1.01755301810397,37,25
179,1.50129340454339,-0.0494983003117119,1.56216880221792,3.28642873121848,TRUE,1.02701498974619,42,28
180,0.255577375430494,-1.70625539125549,-0.62874052710985,0.359453185579271,TRUE,1.05872253239281,29,19
181,-0.27477742651919,-1.14877577823828,-0.34469018901172,0.737359945520865,TRUE,1.03385038823007,33,22
182,0.823404260795435,0.246655062050845,1.35406965341122,2.24250846959631,TRUE,1.02832815256572,33,22
183,-0.937117316644354,-1.95361002476963,-0.89309124917597,0.184883379331965,TRUE,1.09171612237657,35,23
184,3.12477598324326,-1.13706587199727,3.07782643364636,5.89198526980592,TRUE,1.08600151624642,29,19
185,2.40623975894032,0.679767394908659,1.76451933223399,2.86785018829671,TRUE,1.02453445810362,34,23
186,5.15457645508219,4.0894144059925,5.30212318058156,6.44537197836695,TRUE,1.03297778211001,34,23
187,0.539955322090813,-1.73610323414306,-0.338989340553653,0.830575546090901,TRUE,1.15413412849888,31,21
188,-1.45565162584245,-2.95880515473323,-1.6580829741851,-0.410173147896081,TRUE,1.05310384366669,31,21
189,6.65013447644465,2.13152947949911,4.06239979011379,6.12435287631238,FALSE,1.26814856946266,23,15
190,2.9226246606314,-0.646665430594644,0.654182938251113,1.70188986551548,FALSE,1.08266264909089,35,23
191,2.35899578851384,-0.734188896710378,0.908183271896912,2.22122052725283,FALSE,1.0542981095672,34,23
192,0.141668563126696,-0.845868850633197,0.188046813300446,1.31263675448242,TRUE,1.02248174018202,34,23
193,1.31979438037002,0.365323024619328,1.71967938176729,3.13086447560087,TRUE,1.15308782250209,34,23
194,-0.0179266114282539,0.243386554964291,1.84357520921259,3.51813623767781,FALSE,1.07080322007465,40,26
195,0.658157112784963,-0.381650093357921,0.408504797310771,1.16462909477795,TRUE,1.06343495116592,31,21
196,1.04761189562801,-2.49623805054823,-0.948206563798193,0.231809801025228,FALSE,1.01844231187627,46,30
197,-0.756568409703973,-1.25640235161631,-0.111860344821618,1.48106361591156,TRUE,1.09261530148963,40,26
198,0.376231040782771,-1.22991831297769,-0.054595390303841,1.69142053617676,TRUE,1.02903111004497,34,23
